iter	Logloss
0	0.5904287902
1	0.5108020442
2	0.4473772158
3	0.3998336541
4	0.36260557
5	0.333082339
6	0.3109028669
7	0.2923659939
8	0.2780985412
9	0.2660941658
10	0.2563800437
11	0.2473400849
12	0.2407344593
13	0.2355618601
14	0.2307408261
15	0.2267191541
16	0.2219976468
17	0.2188989414
18	0.2161594403
19	0.2139009584
20	0.2118610663
21	0.209675999
22	0.2080180632
23	0.2063696307
24	0.204372098
25	0.2021471507
26	0.2007642205
27	0.1993181558
28	0.1980011121
29	0.1968639018
30	0.1956129322
31	0.1944932777
32	0.1934483158
33	0.192630885
34	0.1916709215
35	0.1904454496
36	0.1895738291
37	0.188817887
38	0.1879132346
39	0.1870658782
40	0.1863021055
41	0.1856206938
42	0.1847773845
43	0.1841944824
44	0.1835536564
45	0.1826447925
46	0.1819030675
47	0.1811356441
48	0.1804087299
49	0.1798714948
50	0.1792400817
51	0.1786834342
52	0.1781971976
53	0.1774821361
54	0.1770065636
55	0.1763879425
56	0.1758281781
57	0.175261885
58	0.1747313795
59	0.1741883181
60	0.1736538536
61	0.1733126809
62	0.1728380863
63	0.1723198828
64	0.1718276632
65	0.1713550042
66	0.1709596784
67	0.1703591767
68	0.169673011
69	0.1692655612
70	0.1688974979
71	0.1683915429
72	0.1679275831
73	0.1674780204
74	0.1671407078
75	0.1666758846
76	0.1662487771
77	0.165972447
78	0.1655260984
79	0.1650859544
80	0.1647639335
81	0.1644227574
82	0.164158392
83	0.1638137813
84	0.163307652
85	0.1629892948
86	0.1626760608
87	0.1623605007
88	0.162055864
89	0.1617490386
90	0.1614562909
91	0.1610013718
92	0.1607422969
93	0.1604717595
94	0.160250757
95	0.1600085458
96	0.1597019546
97	0.1594194502
98	0.1591600108
99	0.1587369329
100	0.1583996036
101	0.1580413667
102	0.1577412772
103	0.1573679036
104	0.1570390489
105	0.1568267936
106	0.1565141421
107	0.1561930375
108	0.1559293124
109	0.155649748
110	0.1553876245
111	0.1551591659
112	0.1548847478
113	0.1546651044
114	0.1544173898
115	0.1541955196
116	0.1538545822
117	0.1536057668
118	0.153381318
119	0.1531301109
120	0.1528182526
121	0.1525413782
122	0.1522882245
123	0.1520518782
124	0.1516021584
125	0.1513743222
126	0.1511589147
127	0.150876125
128	0.1506749551
129	0.1504211431
130	0.1501237793
131	0.1499156461
132	0.1496658649
133	0.1494892597
134	0.1492698832
135	0.1489842917
136	0.1488026593
137	0.1486020629
138	0.1483601252
139	0.1481656387
140	0.1479750776
141	0.1477572601
142	0.1475212228
143	0.1472843588
144	0.1470965893
145	0.1468843896
146	0.1466806735
147	0.1463911888
148	0.1462300329
149	0.1459673373
150	0.1457782722
151	0.1455918693
152	0.1452539016
153	0.1450365882
154	0.1448906118
155	0.1447021323
156	0.1444211946
157	0.1442514606
158	0.1439671875
159	0.1437694467
160	0.1435852232
161	0.1433417474
162	0.1431953188
163	0.1430062968
164	0.1427577336
165	0.1425386939
166	0.1424218562
167	0.1421385418
168	0.1419003579
169	0.1416897224
170	0.1415293486
171	0.1413878398
172	0.1411869021
173	0.1410009989
174	0.1408813374
175	0.1406910084
176	0.140408548
177	0.1403025109
178	0.1401329853
179	0.1399461511
180	0.1397655924
181	0.1396495203
182	0.1395209268
183	0.1393737591
184	0.1392675594
185	0.1390140179
186	0.1388994044
187	0.1386499925
188	0.1384915383
189	0.138327324
190	0.1381765889
191	0.1380159831
192	0.1377840875
193	0.1376371229
194	0.1374930753
195	0.137247477
196	0.1370558812
197	0.136913696
198	0.1368278536
199	0.1366492104
